periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_ingles;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_depto_presentacion;estu_depto_reside;estu_etnia;estu_fechanacimiento;estu_genero;estu_grado;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_individual;estu_pais_reside;estu_pilopaga;estu_privado_libertad;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_personashogar;fami_tieneautomovil;fami_tienecomputador;fami_tieneinternet;fami_tienelavadora;fami_tieneserviciotv;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas
20142;SB11201420120007;ESTUDIANTE;TI;RURAL;N;A;ACADÉMICO;281736000759;281736000759;81;81736;117523;ARAUCA;MIXTO;MAÑANA;SARAVENA;OFICIAL;INSTITUCION EDUCATIVA VILLA CECILIA;VILLA CECILIA SEDE;S;A-;S;81;81736;81;81736;ARAUCA;ARAUCA;Ninguno;20/01/1996;M;11;42.518654;SARAVENA;SARAVENA;COLOMBIA;NSE2;COLOMBIA;NO;N;Tres;Primaria completa;Secundaria (Bachillerato) incompleta;Estrato 1;Cinco;No;No;No;Si;Si;53;257;47;44;60;50
20142;SB11201420239500;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;181065002722;181065002722;81;81065;112318;ARAUCA;MIXTO;MAÑANA;ARAUQUITA;OFICIAL;INSTITUCION EDUCATIVA GABRIEL GARCIA MARQUEZ;GABRIEL GARCIA MARQUEZ;S;A-;S;81;81065;81;81065;ARAUCA;ARAUCA;Ninguno;08/12/1996;M;11;49.05138;ARAUQUITA;ARAUQUITA;COLOMBIA;NSE2;COLOMBIA;NO;N;Dos;Secundaria (Bachillerato) completa;Primaria completa;Estrato 2;Tres;No;Si;Si;Si;Si;50;208;34;45;45;29
20142;SB11201420455142;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO;181736001467;181736001467;81;81736;78089;ARAUCA;MIXTO;MAÑANA;SARAVENA;OFICIAL;INSTITUCION EDUCATIVA JOSE EUSTASIO RIVERA;JOSE EUSTASIO RIVERA;S;A-;S;81;81736;81;81736;ARAUCA;ARAUCA;Ninguno;26/04/1998;F;11;40.218216;SARAVENA;SARAVENA;COLOMBIA;NSE1;COLOMBIA;NO;N;Tres;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Estrato 1;Cinco;No;No;No;No;Si;45;264;38;56;53;62
20142;SB11201420489181;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO;181001000777;181001000777;81;81001;87395;ARAUCA;MIXTO;TARDE;ARAUCA;OFICIAL;INSTITUCION EDUCATIVA TECNICO CRISTO REY;TECNICO CRISTO REY;S;A-;S;81;81001;81;81001;ARAUCA;ARAUCA;Ninguno;25/10/1997;M;11;60.141621;ARAUCA;ARAUCA;COLOMBIA;NSE3;COLOMBIA;NO;N;Tres;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Estrato 2;Cinco;Si;Si;Si;Si;Si;45;217;45;43;44;41
20142;SB11201420270542;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO;181736001491;181736001491;81;81736;52894;ARAUCA;MIXTO;COMPLETA;SARAVENA;OFICIAL;IE CONCENTRACION DE DESARROLLO RURAL;CONCENTRACION DE DESARROLLO RURAL;S;A-;S;81;81736;81;81736;ARAUCA;ARAUCA;Ninguno;18/01/1998;M;11;48.623932;SARAVENA;SARAVENA;COLOMBIA;NSE2;COLOMBIA;NO;N;Tres;Secundaria (Bachillerato) completa;Primaria completa;Estrato 2;Cuatro;No;Si;Si;Si;Si;57;244;41;36;55;50
20142;SB11201420581585;ESTUDIANTE;TI;RURAL;N;A;ACADÉMICO;281001001646;281001001646;81;81001;190017;ARAUCA;MIXTO;SABATINA;ARAUCA;OFICIAL;I.E. MATECANDELA;I.E. MATECANDELA - SEDE PRINCIPAL;S;A1;S;81;81001;81;81001;ARAUCA;ARAUCA;Ninguno;06/10/1996;F;26;44.979794;ARAUCA;ARAUCA;COLOMBIA;NSE2;COLOMBIA;NO;N;Uno;Primaria completa;Primaria completa;Estrato 1;Tres;Si;No;No;Si;Si;36;235;51;56;43;52
20142;SB11201420265969;ESTUDIANTE;TI;URBANO;;A;ACADÉMICO;381001003414;381001003414;81;81001;146266;ARAUCA;MIXTO;COMPLETA;ARAUCA;NO OFICIAL;INSTITUTO POLITECNICO ARAUCANO - INSPOAR;INSTITUTO POLITECNICO ARAUCANO - INSPOAR - SEDE PRINCIPAL;S;A-;S;81;81001;81;81001;ARAUCA;ARAUCA;Ninguno;17/07/1997;M;11;45.269951;ARAUCA;ARAUCA;COLOMBIA;NSE2;COLOMBIA;NO;N;Dos;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 2;Dos;No;No;No;No;Si;58;279;48;54;58;56
20142;SB11201420171111;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;181220000014;181220000014;81;81220;55475;ARAUCA;MIXTO;MAÑANA;CRAVO NORTE;OFICIAL;IE JOSE ANTONIO GALAN;JOSE ANTONIO GALAN;S;A1;S;81;81001;81;81220;ARAUCA;ARAUCA;Ninguno;18/03/1997;F;11;31.806616;ARAUCA;CRAVO NORTE;COLOMBIA;NSE1;COLOMBIA;NO;N;Tres;Primaria incompleta;Primaria incompleta;Estrato 1;Seis;No;No;No;No;No;43;243;51;51;50;50
20142;SB11201420264332;ESTUDIANTE;CC;URBANO;N;A;TÉCNICO;181736001491;181736001491;81;81736;52894;ARAUCA;MIXTO;COMPLETA;SARAVENA;OFICIAL;IE CONCENTRACION DE DESARROLLO RURAL;CONCENTRACION DE DESARROLLO RURAL;S;A1;S;81;81736;81;81736;ARAUCA;ARAUCA;Ninguno;22/06/1995;F;11;47.243629;SARAVENA;SARAVENA;COLOMBIA;NSE2;COLOMBIA;NO;N;Tres;Secundaria (Bachillerato) completa;Primaria completa;Estrato 1;Cuatro;No;Si;No;Si;Si;51;259;53;48;59;49
20142;SB11201420270059;ESTUDIANTE;CR;URBANO;N;A;TÉCNICO;181736001491;181736001491;81;81736;52894;ARAUCA;MIXTO;COMPLETA;SARAVENA;OFICIAL;IE CONCENTRACION DE DESARROLLO RURAL;CONCENTRACION DE DESARROLLO RURAL;S;A1;S;81;81736;81;81220;ARAUCA;ARAUCA;Ninguno;24/12/1995;M;11;39.975765;SARAVENA;CRAVO NORTE;COLOMBIA;NSE1;COLOMBIA;NO;N;Tres;Primaria completa;Primaria completa;Estrato 1;Cuatro;No;No;No;No;Si;59;270;53;52;53;52
