periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_c_naturales;desemp_ingles;desemp_lectura_critica;desemp_matematicas;desemp_sociales_ciudadanas;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_depto_presentacion;estu_depto_reside;estu_discapacidad;estu_etnia;estu_fechanacimiento;estu_genero;estu_grado;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_establecimiento;estu_nse_individual;estu_pais_reside;estu_pilopaga;estu_privado_libertad;estu_repite;estu_tieneetnia;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_tieneautomovil;fami_tienecomputador;fami_tieneinternet;fami_tienelavadora;fami_tieneserviciotv;percentil_c_naturales;percentil_global;percentil_ingles;percentil_lectura_critica;percentil_matematicas;percentil_sociales_ciudadanas;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas
20162;SB11201620357032;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;183001001571;183001001571;18;18001;57232;CAQUETA;MIXTO;TARDE;FLORENCIA;OFICIAL;INSTITUCION EDUCATIVA LOS ANDES;LOS ANDES;S;3;A1;3;3;2;S;18;18001;18;18001;CAQUETA;CAQUETA;N;;13/12/1998;M;11;50.675808;FLORENCIA;FLORENCIA;COLOMBIA;2;NSE2;COLOMBIA;NO;N;0;No;Tres;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Estrato 1;11 A 25 LIBROS;Cinco;Si;Si;Si;Si;Si;76;73;57;58;84;67;59;288;53;55;62;55
20162;SB11201620218517;ESTUDIANTE;TI;URBANO;;A;ACADÉMICO;318001002805;318001002805;18;18001;151373;CAQUETA;MIXTO;MAÑANA;FLORENCIA;NO OFICIAL;COMFACA;COMFACA;S;3;A2;3;3;2;S;18;18001;18;18001;CAQUETA;CAQUETA;N;;08/12/1999;M;11;57.089687;FLORENCIA;FLORENCIA;COLOMBIA;3;NSE3;COLOMBIA;NO;N;0;No;Tres;Educación profesional completa;Educación profesional completa;Estrato 2;26 A 100 LIBROS;Cuatro;No;Si;Si;Si;No;66;70;75;71;72;58;57;283;59;58;58;53
20162;SB11201620544311;ESTUDIANTE;TI;RURAL;N;A;TÉCNICO/ACADÉMICO;218460000373;218460000373;18;18460;73692;CAQUETA;MIXTO;MAÑANA;MILAN;OFICIAL;I.E.R ANGEL RICARDO ACOSTA;ANGEL RICARDO;S;2;A1;3;3;2;S;18;18001;18;18460;CAQUETA;CAQUETA;N;;17/03/2000;F;11;43.159557;FLORENCIA;MILÁN;COLOMBIA;1;NSE2;COLOMBIA;NO;N;0;No;Cuatro;Técnica o tecnológica completa;Secundaria (Bachillerato) completa;Estrato 1;11 A 25 LIBROS;Seis;No;No;No;Si;No;15;48;45;79;65;33;42;253;49;60;55;45
20162;SB11201620366333;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;183001002217;118001003128;18;18001;122507;CAQUETA;MIXTO;MAÑANA;FLORENCIA;OFICIAL;INSTITUCION EDUCATIVA JORGE ELIECER GAITAN;SAN JUAN BOSCO;N;2;A-;2;2;2;S;18;18001;18;18001;CAQUETA;CAQUETA;N;;12/04/1999;F;11;30.421085;FLORENCIA;FLORENCIA;COLOMBIA;2;NSE1;COLOMBIA;NO;N;0;No;Tres;Ninguno;Ninguno;Estrato 1;11 A 25 LIBROS;Cuatro;No;No;No;No;No;55;35;7;41;31;32;54;237;35;50;44;45
20162;SB11201620121495;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;318001000152;318001000152;18;18001;86496;CAQUETA;MIXTO;COMPLETA;FLORENCIA;NO OFICIAL;CORP EDUC AMIGOS INSTITUTO JEAN PIAGET;CORP EDUC AMIGOS INSTITUTO JEAN PIAGET;S;3;B1;4;3;3;N;18;18001;18;18001;CAQUETA;CAQUETA;N;;27/12/1997;F;11;65.747536;FLORENCIA;FLORENCIA;COLOMBIA;4;NSE4;COLOMBIA;NO;N;173105;No;Tres;Postgrado;Técnica o tecnológica completa;Estrato 1;MÁS DE 100 LIBROS;Cinco;Si;Si;Si;Si;Si;88;91;91;95;73;93;64;324;69;69;58;67
20162;SB11201620223291;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;183001001598;183001001598;18;18001;19158;CAQUETA;FEMENINO;MAÑANA;FLORENCIA;OFICIAL;INSTITUCION EDUCATIVA JUAN BAUTISTA MIGANI;JUAN BAUTISTA MIGANI;S;3;A1;3;3;3;S;18;18001;18;18001;CAQUETA;CAQUETA;N;;01/12/1999;M;11;48.993443;FLORENCIA;FLORENCIA;COLOMBIA;2;NSE2;COLOMBIA;NO;N;0;No;Cuatro;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 1;0 A 10 LIBROS;Cinco;No;Si;Si;Si;Si;90;84;55;84;74;86;65;307;52;62;59;62
20162;SB11201620278070;ESTUDIANTE;TI;RURAL;N;A;TÉCNICO;283753001613;283753001613;18;18753;117812;CAQUETA;MIXTO;MAÑANA;SAN VICENTE DEL CAGUAN;OFICIAL;I.E.R GUILLERMO RIOS MEJIA;GUILLERMO RIOS MEJIA;S;2;A-;1;3;1;S;41;41001;18;18753;HUILA;CAQUETA;N;;01/01/2000;M;11;35.769756;NEIVA;SAN VICENTE DEL CAGUÁN;COLOMBIA;1;NSE1;COLOMBIA;NO;N;0;No;Tres;Secundaria (Bachillerato) incompleta;Primaria completa;Estrato 1;0 A 10 LIBROS;Cinco;No;No;No;No;No;30;15;2;2;52;5;47;205;32;35;52;33
20162;SB11201620418303;ESTUDIANTE;TI;URBANO;;A;ACADÉMICO;318001003992;318001003992;18;18001;135228;CAQUETA;MIXTO;SABATINA;FLORENCIA;NO OFICIAL;EDUCAR FLORENCIA;ONG EDUCAR ESC DE CAPAC PETROLERA ECAPETROL - SEDE PRINCIPAL;S;3;A-;3;3;3;S;18;18001;18;18001;CAQUETA;CAQUETA;N;;03/11/1998;M;26;54.599037;FLORENCIA;FLORENCIA;COLOMBIA;3;NSE3;COLOMBIA;NO;N;0;No;Tres;Educación profesional completa;Primaria completa;Estrato 1;11 A 25 LIBROS;Cuatro;Si;Si;Si;Si;Si;76;70;14;63;66;82;59;283;40;56;56;61
20162;SB11201620468153;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;283094001244;283094001244;18;18610;47381;CAQUETA;MIXTO;MAÑANA;SAN JOSE DEL FRAGUA;OFICIAL;I.E PARROQUIAL;PARROQUIAL SAN JOSE;S;1;A-;1;2;1;S;18;18610;18;18610;CAQUETA;CAQUETA;N;;25/03/1999;F;11;36.283199;SAN JOSÉ DEL FRAGUA;SAN JOSÉ DEL FRAGUA;COLOMBIA;2;NSE1;COLOMBIA;NO;N;0;No;Tres;Primaria incompleta;Primaria incompleta;Estrato 1;11 A 25 LIBROS;Tres;No;No;No;No;Si;3;5;2;2;23;17;33;182;33;34;41;39
20162;SB11201620338792;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;183001002217;118001003128;18;18001;122507;CAQUETA;MIXTO;MAÑANA;FLORENCIA;OFICIAL;INSTITUCION EDUCATIVA JORGE ELIECER GAITAN;SAN JUAN BOSCO;N;2;A-;2;2;1;S;18;18001;18;18001;CAQUETA;CAQUETA;N;;27/04/1998;F;11;48.07975;FLORENCIA;FLORENCIA;COLOMBIA;2;NSE2;COLOMBIA;NO;N;0;No;Cuatro;Secundaria (Bachillerato) incompleta;Primaria incompleta;Estrato 1;26 A 100 LIBROS;Cuatro;Si;Si;No;Si;Si;21;9;3;14;18;4;45;194;33;41;39;32
20162;SB11201620035515;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;183410000030;183410000030;18;18410;29421;CAQUETA;MIXTO;MAÑANA;LA MONTAÑITA;OFICIAL;I.E NUESTRA SEÑORA DEL PERPETUO SOCORRO;PERPETUO SOCORRO;S;2;A-;2;2;1;S;18;18001;18;18410;CAQUETA;CAQUETA;N;;28/12/2000;F;11;35.618584;FLORENCIA;LA MONTAÑITA;COLOMBIA;2;NSE1;COLOMBIA;NO;N;71166;No;Tres;Primaria incompleta;Primaria incompleta;Estrato 1;0 A 10 LIBROS;Cinco;No;No;No;No;No;24;16;14;37;22;3;46;207;39;49;41;31
20162;SB11201620471824;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;318001003768;818001100022;18;18001;111161;CAQUETA;MIXTO;SABATINA;FLORENCIA;NO OFICIAL;INFORPH;INFORPH;S;2;A-;2;2;2;S;18;18753;18;18753;CAQUETA;CAQUETA;N;;10/04/1997;F;11;46.373512;SAN VICENTE DEL CAGUÁN;SAN VICENTE DEL CAGUÁN;COLOMBIA;2;NSE2;COLOMBIA;NO;N;0;No;Tres;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Estrato 1;0 A 10 LIBROS;Cuatro;No;Si;No;Si;Si;29;22;28;23;17;25;47;217;44;45;39;42
20162;SB11201620278667;ESTUDIANTE;CC;RURAL;;A;TÉCNICO/ACADÉMICO;218610001098;218610001098;18;18610;145946;CAQUETA;MIXTO;NOCHE;SAN JOSE DEL FRAGUA;OFICIAL;I.E.R. DIVINO NIÑO;PUERTO NUEVO ZABALETA;S;1;A1;2;1;1;S;18;18610;18;18610;CAQUETA;CAQUETA;N;;16/07/1990;F;26;40.883591;SAN JOSÉ DEL FRAGUA;SAN JOSÉ DEL FRAGUA;COLOMBIA;1;NSE1;COLOMBIA;NO;N;0;No;Cinco;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) incompleta;Estrato 1;0 A 10 LIBROS;Cuatro;No;No;No;No;Si;5;2;42;16;2;1;35;171;48;42;28;26
20162;SB11201620412041;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;183753000299;183753000299;18;18753;19240;CAQUETA;MIXTO;MAÑANA;SAN VICENTE DEL CAGUAN;OFICIAL;I.E DANTE ALIGHIERI;DANTE ALIGHIERI;S;3;A-;3;3;2;S;18;18753;18;18753;CAQUETA;CAQUETA;N;;30/12/1997;M;11;35.004501;SAN VICENTE DEL CAGUÁN;SAN VICENTE DEL CAGUÁN;COLOMBIA;2;NSE1;COLOMBIA;NO;N;0;No;Cinco;Primaria incompleta;Ninguno;Estrato 1;11 A 25 LIBROS;Once;No;No;No;No;No;75;66;39;70;81;37;59;278;47;58;61;47
